positive_probs,is_positive,negative_probs
0.4108,0,0.5892
0.8206,1,0.1794
0.9863,1,0.0137
0.9752,1,0.0248
0.9921,1,0.0079
0.9717,1,0.0283
0.9884,1,0.0116
0.1584,0,0.8416
0.8832,1,0.1168
0.2928,0,0.7072
0.9982,1,0.0018
0.9847,1,0.0153
0.0824,0,0.9176
0.9963,1,0.0037
0.2940,0,0.7060
0.9708,1,0.0292
0.6105,1,0.3895
0.9922,1,0.0078
0.9788,1,0.0212
0.9717,1,0.0283
0.4108,0,0.5892
0.8206,1,0.1794
0.9863,1,0.0137
0.9752,1,0.0248
0.9921,1,0.0079
0.9717,1,0.0283
0.9884,1,0.0116
0.1584,0,0.8416
0.8832,1,0.1168
0.2928,0,0.7072
0.9982,1,0.0018
0.9847,1,0.0153
0.0824,0,0.9176
0.9963,1,0.0037
0.2940,0,0.7060
0.9708,1,0.0292
0.6105,1,0.3895
0.9922,1,0.0078
0.9788,1,0.0212
0.9717,1,0.0283
0.2284,0,0.7716
0.4012,0,0.5988
0.8206,1,0.1794
0.4392,0,0.5608
0.9985,1,0.0015
0.9503,1,0.0497
0.9844,1,0.0156
0.9537,1,0.0463
0.7964,1,0.2036
0.3719,0,0.6281
0.9837,1,0.0163
0.1299,0,0.8701
0.1384,0,0.8616
0.9803,1,0.0197
0.0573,0,0.9427
0.9855,1,0.0145
0.2891,0,0.7109
0.0497,0,0.9503
0.5301,1,0.4699
0.7989,1,0.2011
0.2284,0,0.7716
0.4012,0,0.5988
0.8206,1,0.1794
0.4392,0,0.5608
0.9985,1,0.0015
0.9503,1,0.0497
0.9844,1,0.0156
0.9537,1,0.0463
0.7964,1,0.2036
0.3719,0,0.6281
0.9837,1,0.0163
0.1299,0,0.8701
0.1384,0,0.8616
0.9803,1,0.0197
0.0573,0,0.9427
0.9855,1,0.0145
0.2891,0,0.7109
0.0497,0,0.9503
0.5301,1,0.4699
0.7989,1,0.2011
0.4309,0,0.5691
0.9269,1,0.0731
0.7773,1,0.2227
0.9880,1,0.0120
0.9754,1,0.0246
0.9023,1,0.0977
0.7835,1,0.2165
0.9902,1,0.0098
0.9903,1,0.0097
0.9861,1,0.0139
0.9123,1,0.0877
0.9945,1,0.0055
0.6752,1,0.3248
0.5405,1,0.4595
0.9213,1,0.0787
0.9948,1,0.0052
0.6999,1,0.3001
0.3645,0,0.6355
0.3972,0,0.6028
0.1778,0,0.8222
0.4309,0,0.5691
0.9269,1,0.0731
0.7773,1,0.2227
0.9880,1,0.0120
0.9754,1,0.0246
0.9023,1,0.0977
0.7835,1,0.2165
0.9902,1,0.0098
0.9903,1,0.0097
0.9861,1,0.0139
0.9123,1,0.0877
0.9945,1,0.0055
0.6752,1,0.3248
0.5405,1,0.4595
0.9213,1,0.0787
0.9948,1,0.0052
0.6999,1,0.3001
0.3645,0,0.6355
0.3972,0,0.6028
0.1778,0,0.8222
